,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
193611,18.97,10.88,9.89,19.72,14.51,9.07,12.77,5.74,13.5,9.35,4.75,7.03,10.36,9.31,9.53,4.34,3.84,5.3,7.56,8.23,3.99,3.1,2.15,1.87,-1.13
193612,2.55,5.51,-0.77,2.69,-1.24,2.02,1.53,5.39,4.43,3.88,2.09,4.46,-0.99,2.24,10.1,-0.96,5.02,-1.2,4.07,3.67,-1.91,-0.31,-1.03,-0.34,3.28
193701,16.35,14.21,15.94,15.35,15.83,7.16,8.5,13.83,2.83,5.24,8.09,7.8,6.63,6.07,5.12,3.81,6.51,4.8,4.83,8.39,2.36,2.58,2.92,3.67,0.03
193702,-0.59,7.39,11.4,1.59,14.34,2.65,4.6,-0.76,0.73,6.24,7.55,1.31,1.88,3.53,3.01,-0.58,5.51,2.49,1.9,2.88,-1.32,-0.81,-0.6,2.39,5.81
193703,3.72,2.85,2.94,1.88,-0.4,-3.35,-1.09,-0.38,-1.64,-1.28,-4.85,-3.03,-2.44,0.33,3.06,0.35,-0.9,0.83,1.2,-0.55,-2.27,-1.4,-1.77,4.06,0.7
193704,-15.41,-13.06,-12.21,-13.29,-13.32,-10.73,-9.29,-11.34,-9.45,-17.17,-7.31,-4.93,-9.57,-10.07,-10.84,-7.88,-8.41,-6.45,-9.2,-11.37,-8.17,-5.81,-5.47,-5.76,-14.99
193705,-6.23,-1.75,-7.5,-3.96,-3.5,-3.18,-1.85,-2.5,-1.74,-1.21,-3.44,-2.23,-1.43,-3.74,-1.05,-2.02,-0.03,-3.68,-0.52,-2.19,-1.17,0.53,-0.45,-1.82,0.18
193706,-13.94,-8.5,-7.3,-11.94,-11.71,-9.89,-9.3,-5.66,-10.2,-10.47,-8.55,-7.44,-7.94,-7.69,-6.65,-4.25,-4.19,-5.72,-5.97,-5.1,-3.49,-4,-4.23,-2.4,-4.84
193707,13.38,9.64,11.89,11.26,12.86,11.92,8.61,7.93,10.48,10.49,9.39,10.35,10.54,9.08,9.6,9.92,9.18,7.67,7.81,9.51,12.12,6.41,8.08,9.52,11.71
193708,-8.57,-6.57,-3.42,-5.67,-4.68,-3.89,-5.44,-4.12,-5.32,-6.42,-5.12,-3.77,-4.07,-5.7,-6.01,-7.1,-4.4,-3.13,-4.81,-4.86,-3.75,-3.89,-4.9,-4.73,-7.53
193709,-23.92,-23.64,-18.51,-22.2,-26.42,-21.43,-17.69,-19.79,-23.29,-28.16,-18.38,-15.45,-21.51,-20.97,-27.53,-16.64,-14.13,-15.13,-19.67,-22.89,-9.53,-7.77,-11.87,-16.2,-18.25
193710,-7.69,-9.5,-12.47,-6.36,-10.15,-10.88,-11.33,-10.8,-12.27,-12.84,-11.03,-12.85,-10.28,-7.7,-12.09,-6.83,-10.63,-7.5,-11.73,-10.97,-9.86,-7.93,-8.79,-8.99,-12.23
193711,-16.27,-15.75,-11.21,-14.35,-12.8,-13.55,-13.03,-8.83,-11.79,-9.47,-9.47,-9.96,-11.48,-10.66,-11.39,-10.73,-9.5,-9.95,-9.31,-12.64,-2.32,-7.39,-8.92,-5.93,-10.26
193712,-18.26,-13.16,-12.18,-13.7,-18.42,-13.83,-15.6,-9.54,-7.62,-9.91,-15.1,-12.46,-13.37,-11.39,-11.06,-9.26,-7.99,-5.87,-6.77,-5.29,-2.61,-10.57,-6.22,-2.11,-1.07
193801,9.55,6.52,4.7,3.22,8.85,7.45,5.27,2.45,6.52,5.25,7.58,3.08,6,3.66,2.05,-0.93,1.17,1.95,2.2,3.56,6.96,-2.74,2.39,0.7,-1.29
193802,5.51,3.84,0.3,-0.62,-2.02,10.43,6.9,6.27,6.74,3.4,9.87,10.33,8.32,4.42,5.02,11.75,7.6,8.26,7.35,4.68,-99.99,9.31,5.79,8.27,4.48
193803,-34.84,-34.94,-28.62,-30.81,-17.98,-39.77,-30.59,-29.94,-27.53,-20.23,-39.38,-31.4,-30.88,-26.28,-18.37,-42.23,-36.12,-30.52,-25.81,-18.11,-50.33,-32.4,-31.35,-25.31,-20.39
193804,27.59,26.7,21.61,22.83,1.48,26.53,25.59,20.76,22.67,18.03,31.37,23.14,22.25,14.02,18.15,23.33,25.24,20.2,19.86,12.89,16.29,11.78,16.53,15.34,12.73
193805,-10.12,-6.07,-7.96,-6.82,1.79,-10.31,-11.8,-7.5,-5.5,-1.01,-7.41,-10.27,-8.26,-4.46,-2.16,-8.99,-10.23,-10.13,-6.09,-3.54,-7.36,-8.22,-7.56,-6.02,-1.01
193806,37.01,38.12,33.28,26.79,11.72,45.2,35.59,33.79,26.8,14,47.85,40.45,38.35,25.82,12.46,42.45,40.3,37.45,26.42,14.7,42.18,42.81,37.88,29.69,14.01
193807,18.64,14.13,16.07,15.19,11.17,16.17,13.83,13.68,15.47,10.77,15.49,15.82,10.75,12.35,7.16,16.94,13.73,12.67,11.47,7.92,9.18,11.72,7.09,8.08,4
193808,-9.4,-9.2,-10.93,-14.68,-5.58,-10.07,-6.62,-5.69,-4.06,-2.66,-8.46,-8.78,-4.95,-5.19,-2.88,-5,-4.91,-6.67,-3.14,-2,-4.87,-6.36,-3.52,-1.8,-1.83
193809,-4.36,-1.15,-3.69,-4.84,24.13,-3.07,-4.15,-2.68,-1.49,-1.42,-2.34,-1.21,-1.59,-0.83,-3.23,-3.24,-1.01,-2.46,-0.28,0.2,-0.29,-1.09,1.09,1.8,1.1
193810,13.71,16.83,19.23,14.71,34.96,22.63,20.96,12.26,12.32,19.75,18.73,18.74,9.37,10.08,10.37,24.04,18.3,14.18,8.79,12.07,12.99,8.97,5.09,6.36,6.26
193811,-6.99,-7.2,-5.88,-6.17,13.34,-5.11,-6.84,-3.85,-0.45,-2.66,-4.46,-5.5,-2.43,-0.5,-3.26,-4.86,-3.74,-1.75,-1.1,-0.93,-9.81,-3.24,-2.07,-1.39,-0.8
193812,0.08,-3.42,-2.45,1.14,3.56,2.31,2.13,3.99,5,2.84,-1.37,3.42,4.44,5.48,6.85,5.94,4.01,3.25,4.73,9.85,4.24,4.46,4.12,3.89,3.52
193901,-8.46,-8.46,-4.94,-9.43,-9.22,-7.91,-4.02,-9.86,-8.66,-12.53,-4.19,-8.21,-8.21,-9.64,-9.24,-10.23,-9.31,-5.3,-7.39,-8.04,-4.9,-3.87,-7.2,-5.54,-8.03
193902,3.56,2.82,4.59,2.92,0.98,0.49,4.45,3.66,5.39,8.9,1.26,4.13,3.27,5.32,6,0.99,3.12,4.78,5.36,6.28,-0.31,3.68,1.84,4.71,4.28
193903,-18.79,-13.73,-24.76,-20.73,-22.37,-18.1,-18.43,-16.2,-21.83,-21.05,-18.09,-15.97,-17.4,-17.02,-20.55,-17.13,-14.54,-18.28,-16.59,-19.14,-8.13,-12.1,-13.11,-6.92,-15.66
193904,-3.19,-1.06,2.61,1.6,9.49,-3.27,0.37,-1.38,3.07,3.93,-0.17,-1.93,-0.54,1.3,-0.71,-0.3,2.18,-1.35,0.06,1.12,-0.45,-1.15,0.15,-0.11,0.28
193905,3.45,10.89,6.17,1.87,12.03,8.81,9.48,8.58,6.98,15.32,4.82,8.91,11.89,8.09,13.51,6.51,8.38,9.16,10.6,10.49,4.76,3.94,5.1,6.67,8.13
193906,-10.54,-13.29,-11.07,-10.54,-15.43,-10.51,-10.34,-8.51,-9.43,-9.66,-7.62,-8.13,-8.18,-6.92,-7.96,-4.62,-9.46,-7.13,-6.25,-6.78,-7.16,-4.89,-6.13,-4.18,-4.16
193907,13.33,17.44,15.33,10.98,14.61,13.4,16.19,14.58,15.85,14.26,15.57,15.91,16.77,11.68,13.29,17.59,14.68,13.81,13.39,14.67,11.73,9.63,10.16,7.75,9.86
193908,-12.97,-10.47,-12.86,-13.89,-12.68,-15.36,-13.11,-13.8,-10.59,-6.5,-14.57,-12.21,-10.98,-7.74,-7.49,-14.49,-13.43,-12.27,-9.39,-8.82,-11.09,-10.56,-6.32,-6.85,-4.32
193909,95.67,75.61,42.37,38.2,35.45,51.34,52.64,37.14,32.43,30.85,61.11,42.65,28.23,21.4,19.77,36.24,27.32,31.31,21.6,7.62,36.25,25.02,26.11,11.65,7.82
193910,-6.03,-7.46,-1.01,8.07,-3.93,-6.35,-0.9,2.2,0.72,2.57,-6.19,-0.75,-2.23,2.07,4.95,-4.4,-3.23,-2.1,0.52,5.37,-3.16,-4.51,-2,-0.5,1.76
193911,-9.52,-10.46,-12.74,-24.42,-17.04,-9.9,-8.4,-8.46,-11.16,-9.65,-9.25,-5.06,-6.84,-9.75,-6.09,-8.65,-6.04,-8.73,-4.37,-5.17,-4.94,-2.24,-3.96,-1.94,-4.3
193912,-2.77,1,-4.76,-2.63,-0.41,0.59,-0.33,2.92,2.07,5.01,1.91,1.4,4.41,4.47,7.18,-1.45,1.44,4.95,3.77,5.62,0.05,1.08,3.33,3.57,4.56
194001,-3.5,1.21,-0.33,1.85,-6.9,-3.13,-2,-4.12,-2.89,-0.14,-2.52,-3.77,-1.98,0.78,-1.38,-3.24,-5.99,-4.71,-1.64,0.24,-1.44,-2.93,-4.3,-2.32,-0.22
194002,2.09,8.4,0.93,9.09,7.49,3.21,3.1,2.63,3.63,6.11,2.7,3.01,4.43,2.46,3.6,-0.37,1.28,3.04,2.14,5.79,-2.96,0.34,1.32,1.25,1.76
194003,2.79,3.8,2.09,3.25,4.13,3.13,3.07,3.76,1.77,2.22,1.14,3.06,2.22,3.08,5.35,4.12,1.09,2.55,3.26,3.09,-0.67,2,2.36,2.06,0.82
194004,-3.74,6.99,2.37,6,12.24,6.13,1.54,-0.1,1.72,4.67,-1.21,-0.81,1.01,0.72,5.07,-4.84,-2.03,0.16,0.98,6.09,-0.08,-1.05,0.64,0.16,0.25
194005,-28.46,-30.85,-34.24,-29.13,-34.18,-32.21,-31.21,-25.54,-27.65,-28.34,-27.96,-28.48,-26.43,-25.83,-25.85,-29.75,-26.3,-24.53,-25.72,-28.48,-26.03,-19.87,-21.11,-21.11,-23.7
194006,4.23,9.44,3.97,8.77,7.38,11.05,5.78,6.88,6.82,4.54,8.72,6,3.9,3.46,7.37,14.28,9.31,7.68,8.23,8.22,4.16,6.79,6.63,6.79,2.68
194007,1.29,0.67,3.92,5.82,5.47,3.35,3.71,3.94,1.67,2.92,4.2,6.02,5.45,4.45,8.08,3.99,3.48,2.71,4.54,4.12,2.07,4.14,2.98,2.75,1.89
194008,2.06,-2.35,5.37,0.78,0.75,4.07,4.01,3.76,1.55,2.2,1.79,1.22,2.93,2.62,2.49,4.48,2.65,-0.32,3.33,1.43,5.31,2.55,2.14,2.13,0.82
194009,5.5,5.01,6.62,5.39,1.47,5.08,5.98,3.45,5.18,4.19,4.79,4.77,3.88,6.3,4.28,2.56,2.61,3.57,3.55,1.98,0.06,2.08,2.35,2.48,1.47
194010,4.94,6.61,6.46,4.84,4.83,11.31,4.82,4.57,4.31,7.51,6.91,8.87,3.31,4.69,2.81,15.05,10.07,6.39,4.29,4.42,14.17,10.3,3.31,1.85,-0.69
194011,-1.18,5.13,1.31,-4.44,7.81,-3.04,3.21,-0.05,1.15,0.71,-4.95,-1.03,0.82,1.83,0.74,-5.23,-1.31,-0.15,0.53,0.23,-1.36,-0.96,-0.47,-3.31,-0.98
194012,-7.23,-3.46,-5.5,-1.75,0.95,-6.74,-1.5,-1.47,-1.42,1.46,-2.45,-3.61,-1.57,0.73,2.36,1.66,-1.64,-1.83,-0.65,1.43,0.84,1.1,0.7,1.08,1.18
194101,4.7,2.16,0.37,-3.3,-1.35,5.05,-1.44,-4.11,-1.27,-4.04,-1.35,-0.65,-3.64,-3.95,-5.21,-4.32,-2.55,-2.96,-5.06,-6.02,-1.94,-2.45,-4.81,-5.64,-2.38
194102,-3.55,-4.09,-2.39,-3.74,-1.22,-4.61,-2.46,-0.92,-2.19,-0.73,-2.6,-2.25,-1.58,-2.19,-2.03,-2,-2.57,-1.96,-2.7,-0.01,-3.95,-1.02,-1.47,-1.32,-1.15
194103,1.97,1.5,-0.59,-0.04,0.57,1.41,1.61,3.34,3.74,3.59,-2.5,1.02,-0.29,1.68,0.24,-2.33,1.83,-0.52,1.14,1.17,0.01,1.04,0.05,1.81,0.69
194104,-8.64,-8.2,-6.15,3.21,-6.36,-9.35,-6.99,-7.11,-5.27,-2.9,-6.54,-6.46,-4,-6.77,-5.32,-11.33,-7.41,-5.84,-4.94,-4.08,-9.37,-4.96,-5.8,-5.51,-3.79
194105,-0.82,-1.3,2.19,1.97,4.25,-1.38,4.56,1.02,1.83,1.22,-2.54,1.4,1.29,0.64,3.07,3.63,1.67,2.87,0.89,0.76,-2.11,0.64,2,1.2,2.18
194106,6.35,6.9,7.02,10.26,10.43,6.15,6.18,5.57,7.42,8.85,7.42,5.2,6.39,5.48,6,6.96,7.59,4.69,3.94,8.77,5.9,7.04,4.77,6.07,3.29
194107,29.32,22.76,18.03,16.46,13.05,17.32,15.05,11.61,9.7,11.67,10.09,13.58,7.91,7.89,11.39,10.9,6.27,10.75,11.28,10.5,6.27,2.93,3.79,9.21,8.04
194108,-2.79,-2.11,1.64,6.89,-2.54,-2.01,-0.34,-3.24,-0.07,0.22,-2.75,-1.57,-1.57,-0.83,0.78,-1.63,-0.76,0.58,1.05,0.78,0.17,-0.05,0.93,-1.24,-1.6
194109,-5.43,-6.03,-3.53,-4.7,-3.98,-3.49,-2.21,-2,-2.14,-2.89,-1.16,-0.47,-1.97,-1.58,-3.29,1.2,-0.03,-2,-1.85,-0.75,1.3,-0.9,-0.33,-2.12,-3.09
194110,-9.12,-8.42,-9.24,-4.93,-4.69,-9.19,-7.38,-4.66,-5.67,-3.4,-11.93,-4.65,-6.54,-4.58,-4.75,-8.23,-6.59,-6.29,-5.41,-2.58,-8.54,-5.84,-6.42,-2.31,0.34
194111,-10.05,-10.66,-5.54,-0.55,-1.54,-5.71,-5.36,-2.84,-2.64,-1.32,-2.4,-2.96,-3.23,-0.66,-1.68,-3.04,-4.72,-0.86,-0.5,-0.14,-4.27,-3.06,-3.79,1.76,0.37
194112,-15.35,-17.61,-15.43,-13.64,-12.9,-13.31,-9.44,-12.67,-5.77,-8.14,-10.9,-5.38,-5.73,-5.18,-9.51,-4.95,-6.39,-1.29,-6.55,-4.44,-4.9,-3.3,-4.4,-3.04,-8.43
194201,28.91,18.49,28.53,20.75,20.32,17.38,14.55,12.1,7.81,13.13,8.02,7.05,3.38,8.46,7.51,4.79,6.13,2.24,2.72,6.03,5.52,3.69,-2.23,-4.09,-0.22
194202,-2.23,-3.94,-3.95,1.4,0.22,-0.24,-0.95,-1.14,-0.46,-3.58,-1.74,-2.18,-0.73,-0.31,-0.27,1.46,-4.38,-1.17,-1.89,-0.8,-0.3,-0.44,-3.92,-4,-3.73
194203,-2.44,-8.25,-6.16,-4.83,-5.71,-2.94,-4.02,-6.03,-1.99,-3.77,-4.33,-5.65,-2.64,-3.44,-7.57,-6.59,-5.03,-6.07,-3.54,-6.07,-7.35,-6.58,-7.63,-6.3,-7.65
194204,-3.55,-5.17,-6.05,-5.51,-2.66,-4.46,-5.58,-4.49,-2.05,-6.21,-6.3,-3.67,-6.43,-5.55,-4.99,-4.74,-4.98,-7.01,-5.76,-4.56,-2.39,-3.89,-4.51,-5.83,-3.55
194205,2.36,2.05,-1.36,0.54,-2.1,4.51,2.2,1.67,0.38,1.61,4.95,3.65,1.2,1.32,-0.33,9.77,6.89,2.79,2.1,3.76,10.93,6.53,6.53,3.73,3.13
194206,3.49,3.95,3.63,5.24,1.84,1.72,2.16,3.39,0.04,0.1,2.82,2.51,2.8,2.59,1.82,3.99,1.72,2.18,3.25,0.83,4.65,2.27,2.63,3.28,2.34
194207,5.58,8.74,1.91,8.35,6.47,3.72,3.25,6.35,3.11,4.01,2.79,4.06,2.42,4.85,5.65,2.71,4.68,4.74,3.65,6.01,0.35,3.11,4.38,3.26,5.18
194208,3.91,5.1,0.63,4.68,-0.46,2.89,3.82,1.55,2.75,2.45,-0.36,3.56,4.47,2.27,3.45,-0.02,2.26,2.02,2.81,3.16,1.83,1.7,1.62,1.6,2.08
194209,9.23,4.07,3.82,7.49,9.64,3.13,4.25,3.19,3.38,4.49,4.85,2.62,2.81,1.18,1.18,4.21,1.3,2.63,2.72,5.47,2.53,2.12,2.58,2.62,3.65
194210,15.89,12.8,10.09,12.02,7.01,17.2,12.44,9.27,7.34,7.16,16.51,9.4,5.31,7.18,8,11.01,6.69,11.41,6.22,9.72,10.45,6.71,5.52,6.04,7.1
194211,-3.27,-0.23,6.14,-1.27,-7.05,-1.11,-1.51,-1.45,0.25,-3.54,-4.24,-0.19,-3.06,-1,-0.1,-1.22,-2.82,-0.13,-1.25,0.31,0.82,2.55,-1.19,0.45,-1.64
194212,1.86,-0.31,-3.22,2.32,-0.92,2.01,0.67,2.94,5.22,6.05,2.11,3.16,4.74,4.09,4.62,5.61,3.36,3.02,8.73,7,3.27,3.72,7.07,7.81,5.66
194301,23.6,25.78,23.42,26.64,38.49,19.62,16.56,17.67,14.49,19.82,15.06,10.31,11.77,9.16,12.72,9.46,10.01,7.85,9.06,5.94,7.92,5.02,7.62,5.73,6.98
194302,33.35,24.6,27.84,11.4,11.1,16.49,11.55,10.61,8.48,10.05,9.84,10.57,7.72,9.24,10.84,6.99,8.24,6.38,7.74,9.11,3.45,4.67,5.16,5.19,8.4
194303,8.33,17.03,13.22,17.69,16.7,14.69,10.61,10.22,14.28,14.37,8.19,10.98,10.45,10.75,12.98,11.05,6.78,7.13,10.46,14.34,6.47,3.3,4.33,5.58,8.8
194304,8.15,5.08,0.25,8.98,10.23,-0.3,2.69,3.09,7.16,10.08,-0.37,0.03,0.48,4.25,6.51,-1.09,-0.06,1.65,2.65,10.42,-2.67,0.79,-0.33,0.98,6.28
194305,14.86,10.04,9.17,11.51,15.31,5.39,7.59,6.56,9.48,11.34,3.25,4.93,7.1,10.04,20.49,3.28,5.3,4.92,7.33,11.12,4.86,5.31,5.65,5.51,8.06
194306,3.88,4.31,4.17,0.25,-2.92,1.91,2.76,-0.29,1.96,1.92,1.08,1.68,3.55,1.49,-0.7,1.21,2.45,1.18,1.37,-2.51,1.11,3.37,2.21,2.91,-0.26
194307,-5.58,-6.51,-5.44,-4.41,-10.55,-3.04,-5.04,-4.28,-8.35,-12.66,-3.56,-3.73,-6.32,-8.94,-12.36,-3.39,-3.62,-6.85,-8.62,-13.31,-3.65,-4.42,-5.45,-3.52,-7.35
194308,-2.76,-2.23,-0.46,-1.4,-1.2,-2.13,0.08,0.89,0.4,2,-0.07,0.6,2.2,2.05,0.64,-0.03,-0.53,1.89,3.77,2.37,0.76,1.5,2.78,0.08,0.94
194309,1.21,2.7,3.31,5.52,4.84,1.82,2.62,4.47,5.05,6.04,2.87,2.57,2.55,4.01,5.72,2.41,2.79,3.27,2.46,3.24,1.5,2.38,2.54,1.78,4.49
194310,2.05,-1.68,1.3,2.17,-3.77,1.59,1.36,0.08,-1.05,6.48,1.68,-0.68,0.02,-0.08,-3.14,-0.89,0.51,-1.66,-0.21,-0.42,-0.72,-1.33,-1.52,-2.42,-1.39
194311,-15.19,-11.15,-8.7,-13.33,-14.81,-9.11,-7.25,-8.39,-9.9,-10.26,-7.49,-7.58,-7.25,-5.81,-13.1,-10.12,-4.69,-6.95,-6.45,-12.93,-5.28,-4.31,-6.35,-5.38,-12.42
194312,9.07,6.31,11.07,14.16,13.13,8.9,9.11,8.84,10.98,12.77,9.9,9.34,8.85,12.57,15.15,6.72,5.53,6.39,12.34,15.63,4.51,5.35,7.34,9.31,12.01
194401,5.96,7.5,5.72,7.11,10.01,5.48,2.48,5.42,6.22,1.2,3.71,4.73,3.5,6.57,4.44,3.47,2.56,1.64,2.52,1.75,1.25,1.65,1.24,1.74,-0.07
194402,2.59,4.26,2.19,1.1,4.48,0.76,3.38,1.26,0.85,3.48,1.11,0.97,0.43,1.52,0.39,2.01,0.41,1.73,1.73,-1.86,-0.31,0.57,0.52,0,0.69
194403,6.9,5.33,5.82,4.44,6.64,2.54,4.41,4.63,4.71,7.07,3.86,3.62,3.4,3.99,7.65,0.41,1.8,2.86,2.2,5.73,1.91,2.01,2.04,3.31,8.54
194404,-4.78,-3.81,-2.55,-3.44,-3.19,-4.39,-1.83,-2.96,-3.53,-2.96,-4.08,-2.83,-2.2,-2.02,-3.52,-4.11,-2.8,-3.03,-2.83,-2.34,-1.81,-1.77,-1.34,-0.62,-1.23
194405,6.05,9.66,8.9,8.44,9.87,6.15,6.85,5.6,6.53,7.17,7.17,5.79,7.03,8.63,8.19,2.91,6.24,6.69,6.05,5.74,2.9,4.8,3.88,5.89,6.09
194406,26.94,12.27,16.81,8.69,9.72,17.52,9.57,9.25,8.17,4.91,14.72,9.59,8.83,8.15,6.57,12.13,8.27,8.89,5.77,7.61,9.72,4.77,4.21,5.03,3.2
194407,-4.38,-2.25,0.4,0.06,-1.01,-0.54,-1.01,-1.15,-0.43,-1.78,-1.36,-0.5,-0.9,-1.15,-2.49,0.79,-2.45,-0.09,-1.31,-3.17,-2.48,-1.46,-0.82,-2.59,-0.61
194408,0,3.3,0.09,4.66,6.26,1.77,1.66,1.06,5.35,4.1,2.28,1.65,3.14,3.55,7.36,0.78,1.59,2.06,2.2,6.3,-0.03,1.23,1.33,3.17,7.07
194409,1.38,0.99,-0.21,1.11,-0.85,-1.71,1.38,1.88,0,-1.39,-0.62,0.91,0.53,0.75,0.35,0.49,0.63,-0.64,-0.46,-0.95,-0.09,0.24,0.48,-2.78,-1.66
194410,0.83,-0.28,3.17,0.41,-0.47,-3.03,0.12,2.02,-0.81,-0.84,-0.44,-0.17,1.2,0.03,-2.43,1.22,0.97,-0.19,-1.15,-2.78,1.29,0.4,-0.83,-1.19,-2.18
194411,2.32,1.74,4.95,3.89,2.12,1.89,0.85,3.43,2.52,4.77,1.45,1.85,1.43,1.55,2.45,3.05,1.84,2.84,1.44,2.5,1.45,1.43,1.51,2.42,2.95
194412,6.04,17.4,8.99,8.16,8.38,8.8,5.97,8.27,7.16,8.88,6.89,6.13,4.96,7.54,7.45,4.59,3.76,5.13,6.84,12.44,2.15,3.87,3.91,11.05,7.23
194501,6.25,4.27,3.23,4.05,9.19,4.78,6.47,3.55,4.31,7.01,4.7,3.69,3.44,5.4,3.36,5.45,1.84,4.3,0.75,1.98,1.33,2.45,1.14,1.77,1.82
194502,10.46,10.04,10.68,7.82,11.75,9.71,6.83,8.84,10.47,10.16,5.77,8.18,8.64,10.14,8.21,8.78,5.25,8.06,8.65,11.3,5.33,4.92,6.66,7.55,6.03
194503,-8.66,-7.42,-8.49,-5.38,-11.93,-2.39,-5.49,-5.07,-4.66,-6.47,-2.65,-5.33,-7.74,-5.9,-6.26,-3.31,-3.03,-3.53,-4.8,-7.42,-2.82,-3.8,-4.14,-6.47,-4.19
194504,6.74,4.45,7.61,10.95,11.34,7.05,7.04,10.02,7.71,9.37,8.39,8.92,9.28,8.08,13.42,5.65,5.99,9.92,9.85,15.47,6.04,8.13,9.96,9.02,13.33
194505,9.51,5.16,3.66,2.56,4.61,2.59,1.88,1.34,2.86,3.01,1.29,3.07,3.21,4.25,3.44,2.73,2.43,-0.01,1.8,3.95,1.76,1.55,1.17,0.5,0.41
194506,6.66,6.22,11.35,7.32,7.13,1.27,3.81,0.75,1.74,6.55,2.26,0.77,1.31,2.96,6.22,0.98,0.58,0.43,4.54,8.8,-0.63,-0.75,-0.64,0.96,6.7
194507,-4.64,-3.23,-4.31,-4.95,-2.63,-2.87,-3.39,-4.02,-3.12,-5.13,-3.32,-2.75,-3.4,-2.61,-7.15,-1.51,-2.95,-1.59,-4,-5.16,-0.84,-1.86,-1.85,-1.81,-9.37
194508,6.79,6.88,6.15,9.14,3.46,5.51,6.05,8.79,6.97,5.6,5.5,7.03,7.95,9.66,4.97,7.25,8.65,7.02,5.67,6.19,6.28,6.27,7.12,4.29,-0.2
194509,6.12,8.49,6.68,8.49,5.52,7.31,6.95,8.46,6.95,4.4,7.13,6.89,6.35,5.89,5.95,6.22,5.3,4.99,8.5,7.51,5.62,2.67,4.85,4.82,11.8
194510,10.81,11.13,13.85,9.65,8.61,6.55,8.44,4.94,4.78,5.3,4.88,5.01,6.65,4.31,4.33,4.64,5.08,5.95,6.62,4.24,3.44,3.15,3.75,1.98,9.13
194511,11,13.46,13.28,10.8,14.39,7.73,10.17,11.92,9.49,10.07,8.51,7.89,5.76,9.78,9.93,6.66,10.61,7.7,12.55,11.69,4,2.12,4.47,7.73,9.19
194512,3.73,2.46,4.72,5.17,2.65,4.28,3.77,3,2.72,3.93,2.52,0.96,1.79,2.03,1.52,0.1,1.53,3.69,3.29,2.72,0.85,0.24,0.21,0.81,8.52
194601,11.12,13.09,17.29,9.35,18.86,7.34,7.28,12.82,9.04,12.19,6.77,9.7,5.81,8.92,8.81,5.18,6.71,7,10.97,10.07,4.35,5.66,10.47,8.63,4.1
194602,-3.15,-3.88,-6.05,-7.9,-8.1,-5.48,-8,-6.35,-8.84,-6.89,-7.38,-8.13,-7.33,-7.07,-5.76,-5.23,-6.25,-6.06,-7.24,-8.13,-5.08,-5.36,-5.23,-7.74,-6.86
194603,2.05,1.7,4.89,3.17,2.75,4.88,4.85,3.95,8.29,6.62,3.8,7.29,6.97,8.92,9.12,5.3,4.89,7.93,10.4,8.17,5,6.09,5.26,7.97,8.27
194604,4.63,6.35,6.96,5.99,10.55,2.89,4.64,5.7,7.47,5.87,1.94,2.97,5.75,5.48,8.07,3.37,3.86,3.83,8.89,3.3,4.34,3.01,4.7,4.51,4.11
194605,6.76,8.05,3.93,7.44,5.27,8.32,4.82,6.69,7.97,1.7,4.98,10.03,9.17,4.89,5.85,6.32,4.47,6.79,5.87,5,4,3.18,2.92,2.25,3.47
194606,-6.13,-4.4,-3.82,-4.66,-7.17,-2.49,-2.87,-7.02,-5.76,-4.67,-4.21,-5.05,-5.34,-6.4,-6.08,-3.64,-4.72,-4.69,-6.74,-6.81,-2.76,-2.5,-4.87,-5.15,-4.11
194607,-7.93,-4.7,-3.9,-5.36,-5.21,-4.82,-3.88,-6.24,-4.28,-4.15,-4.01,-4.39,-3.43,-4.51,-3.82,-4.79,-2.56,-4.23,-3.49,-4.27,-1.7,-2.26,-2.76,-2.55,-1.45
194608,-10.09,-6.88,-6.12,-8.86,-12.22,-8.68,-7.25,-8.08,-8.27,-8.53,-6.36,-6.84,-7.04,-9.58,-7.48,-7.18,-5.03,-8.87,-6.65,-6.45,-7.1,-5.88,-4.68,-6.99,-5.18
194609,-18.74,-17.25,-14.08,-16.26,-14.93,-17.85,-14.26,-12.84,-13.64,-13.35,-13.3,-14.12,-11.96,-12.19,-12.49,-16.12,-12.03,-11.89,-11.7,-11.76,-12.2,-7.65,-7.97,-7.97,-12.62
194610,-2.5,-2.79,-0.34,-2.23,-0.26,-0.08,-1.06,-0.98,0.79,-3.73,-1.47,-3.74,-0.28,1.21,-0.55,-2.85,-1.89,0.23,-0.62,-2.31,-3.01,-1.5,-1.27,-0.55,-1.12
194611,-1.47,1.12,-2.52,1.71,-2.4,-1.1,-0.54,1.42,-1.86,-2.45,-0.7,3.32,-0.6,2.21,-0.4,-3.03,0.11,2.13,-0.14,0.7,-2.77,-0.94,1.99,0.54,-1.31
